City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,coyhaique,-45.5752,-72.0662,11.34,66,75,2.06,CL,1708164886
83,vadso,70.0744,29.7487,-3.91,100,100,4.63,NO,1708164887
84,badger,64.8,-147.5333,-16.86,77,0,0.0,US,1708164888
85,farasan,16.7022,42.1183,26.32,80,24,2.91,SA,1708164888
86,port mathurin,-19.6833,63.4167,26.78,72,94,11.71,MU,1708164889
87,ilanskiy,56.2358,96.065,-22.05,92,100,4.54,RU,1708164890
88,arraial do cabo,-22.9661,-42.0278,24.92,78,40,8.23,BR,1708164891
89,velikiye luki,56.34,30.5452,2.39,93,100,7.55,RU,1708164891
90,arkhangel'sk,64.5401,40.5433,-11.04,85,100,8.0,RU,1708164892
91,gwangju,35.1547,126.9156,7.26,78,0,1.27,KR,1708164603
92,haiku-pauwela,20.9219,-156.3051,19.01,87,100,4.63,US,1708164893
93,whitecourt,54.1502,-115.6855,-8.07,90,34,1.75,CA,1708164894
94,invercargill,-46.4,168.35,15.57,80,98,1.79,NZ,1708164894
95,callaway,30.153,-85.5699,16.06,95,75,2.57,US,1708164895
96,sinabang,2.4803,96.3801,29.55,71,100,1.26,ID,1708164896
97,afaahiti,-17.75,-149.2833,26.93,78,100,8.42,PF,1708164896
98,kolonia town,6.964,158.206,28.06,78,100,5.14,FM,1708164897
99,champasak,14.75,106.0,35.59,25,1,1.63,LA,1708164897
100,longyearbyen,78.2186,15.6401,-12.09,72,75,8.23,SJ,1708164646
101,newman,37.3138,-121.0208,11.27,92,87,0.45,US,1708164899
102,udachny,66.4167,112.4,-38.64,65,63,2.84,RU,1708164900
103,grand rapids,42.9634,-85.6681,-5.69,85,98,5.14,US,1708164806
104,san patricio,28.017,-97.5169,15.47,70,100,9.68,US,1708164901
105,marivan,35.5219,46.176,3.68,98,100,1.61,IR,1708164902
106,chimore,-16.9833,-65.1333,23.14,97,100,0.79,BO,1708164903
107,coomera,-27.8833,153.3,26.06,78,5,0.89,AU,1708164903
108,bilibino,68.0546,166.4372,-25.82,90,100,1.77,RU,1708164904
109,georgetown,5.4112,100.3354,32.19,70,20,4.63,MY,1708164609
